survey_type,province,city,county,gender,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability,age,target
1,4,7,22,1,1,1,1,4,100000,4,91.0,175,160,5,5,5,2,4,4,4,4,6,1,2.0,8.0,1.0,1.0,100000.0,4,3,2,1,3,2,1,3,2,50,1
1,27,79,119,1,3,1,1,4,25000,1,71.0,165,130,2,2,3,2,3,4,1,2,3,5,,,,,80000.0,5,2,1,2,3,2,2,5,2,64,1
2,9,21,43,2,1,1,1,1,2000,1,100.0,160,120,1,2,2,1,2,3,1,4,1,4,,,,,20000.0,6,3,1,1,3,3,3,4,2,67,1
1,21,62,98,2,1,1,1,3,5000,1,220.0,154,90,4,4,3,1,4,3,1,4,5,4,,,,,40000.0,5,2,1,2,3,2,2,4,3,35,1
1,19,57,92,1,1,1,1,6,48000,1,80.0,172,120,3,3,3,4,2,4,1,4,7,5,,,,,48000.0,1,3,0,2,3,1,1,3,-8,73,1
1,12,32,58,1,1,1,1,6,-1,1,63.0,165,65,4,5,5,2,2,4,4,1,4,5,,,,,90000.0,3,3,1,2,3,2,2,4,-8,59,1
1,26,76,116,2,1,1,1,4,20000,1,80.0,156,100,4,4,4,2,3,3,3,4,3,1,2.0,26.0,1.0,4.0,60000.0,2,2,1,2,3,2,2,3,2,45,1
1,17,48,80,2,1,1,1,4,19200,1,117.0,161,126,4,5,3,1,3,4,2,4,6,5,,,,,100000.0,1,3,2,2,3,2,2,4,2,49,1
1,31,88,133,2,1,1,1,4,10000,1,79.0,158,140,3,3,3,2,3,3,1,4,5,5,,,,,20000.0,2,2,1,2,3,3,1,4,2,52,1
1,4,7,19,1,1,1,1,10,40000,2,140.0,183,135,4,4,3,1,4,4,4,2,4,1,5.0,4.0,2.0,2.0,40000.0,1,2,0,2,1,2,1,2,2,23,0
2,18,53,87,1,1,1,1,1,3000,1,80.0,168,110,2,2,3,1,4,4,1,4,4,3,,,,,40000.0,2,2,1,2,3,3,1,4,2,68,1
1,4,7,21,1,1,1,2,11,80000,1,57.0,171,146,4,4,3,2,2,3,3,4,6,1,3.0,17.0,1.0,3.0,170000.0,2,3,1,1,3,2,1,3,3,36,1
1,27,80,120,2,1,1,1,4,20000,1,90.0,175,100,4,4,4,2,2,2,2,4,5,1,6.0,-2.0,1.0,2.0,40000.0,2,4,1,2,3,2,1,4,2,50,1
1,4,7,20,1,1,1,1,12,100000,1,70.0,170,120,2,2,2,2,1,5,1,4,10,5,,,,,150000.0,3,4,1,2,3,1,2,3,2,89,1
1,16,46,77,2,1,1,1,4,150000,1,240.0,168,98,5,4,4,1,3,3,3,3,5,1,1.0,8.0,1.0,4.0,150000.0,2,2,0,2,3,2,1,3,2,28,1
2,9,21,43,2,1,0,3,1,660,4,40.0,150,80,2,3,3,1,2,3,1,4,4,4,,,,,10000.0,2,2,1,2,3,3,2,3,2,78,1
1,15,39,70,1,1,1,1,4,20000,1,25.0,172,150,4,3,3,1,3,4,1,4,2,1,4.0,35.0,1.0,3.0,30000.0,1,3,1,2,3,2,2,3,-8,58,1
1,5,8,23,2,1,-8,1,-8,60000,1,70.0,165,105,5,4,4,2,3,3,3,2,6,1,3.0,30.0,1.0,3.0,80000.0,2,4,1,2,3,2,2,4,2,46,1
1,26,75,115,1,1,1,1,6,15600,1,24.2,173,135,4,4,4,2,3,3,2,2,4,1,4.0,30.0,1.0,3.0,15600.0,1,2,1,2,6,3,2,4,2,55,0
1,27,77,117,2,1,1,1,10,-3,1,180.0,160,120,4,5,5,5,4,4,3,4,8,5,,,,,-3.0,4,3,1,1,3,2,1,4,2,44,1
1,28,81,123,2,1,1,1,3,15000,1,180.0,160,105,5,4,4,5,2,4,4,4,4,1,3.0,15.0,1.0,3.0,35000.0,2,3,1,2,3,2,1,4,2,55,1
2,2,2,9,2,8,0,3,4,12000,1,300.0,169,120,4,3,3,1,3,3,3,4,6,1,8.0,26.0,1.0,4.0,35000.0,4,3,1,2,3,2,2,3,2,42,1
2,24,70,110,1,1,1,3,4,10000,1,15.0,160,122,3,3,3,1,3,3,2,4,4,3,,,,,10000.0,2,2,1,2,7,2,3,3,2,56,1
2,10,28,51,2,1,1,1,4,20000,1,90.0,162,115,3,3,4,1,4,5,1,4,4,2,,,,,30000.0,4,2,1,2,3,2,2,4,2,46,1
1,4,7,21,2,1,1,1,4,10000,1,56.0,159,115,3,5,5,2,1,5,1,1,5,1,3.0,4.0,1.0,3.0,20000.0,4,2,1,2,3,2,1,3,2,31,1
1,29,82,125,2,1,1,1,6,0,2,126.0,160,112,5,5,5,1,4,4,3,1,4,6,,,,,60000.0,4,3,1,1,1,2,2,2,-8,18,1
1,11,31,54,2,1,1,1,12,3000,2,200.0,167,120,4,3,3,2,3,3,4,3,3,6,,,,,70000.0,4,3,1,2,1,2,2,3,-8,22,1
2,17,50,83,1,1,1,1,4,55000,2,200.0,170,125,5,5,4,1,3,3,4,4,3,1,2.0,5.0,2.0,4.0,80000.0,3,2,1,2,1,3,1,2,2,22,1
2,5,8,24,2,1,1,1,1,5000,1,65.0,160,125,4,4,4,1,4,4,2,4,5,2,,,,,10000.0,3,3,1,2,3,2,2,3,2,60,1
1,17,48,80,1,1,1,1,3,20000,1,97.0,175,125,5,5,5,1,2,3,3,4,4,1,3.0,16.0,1.0,3.0,110000.0,5,3,1,2,3,1,1,4,2,64,1
1,15,39,70,1,1,1,1,4,15000,1,50.0,170,130,5,4,4,2,2,3,2,1,5,1,3.0,30.0,1.0,3.0,30000.0,2,3,1,2,3,2,2,3,3,54,0
1,12,32,56,2,1,1,1,1,48000,1,100.0,155,100,4,4,5,5,4,5,1,4,5,5,,,,,-2.0,2,3,10,2,7,3,1,4,2,82,1
1,10,24,46,1,1,1,3,4,30000,1,160.0,186,170,4,5,4,1,1,4,1,5,1,1,2.0,16.0,1.0,2.0,60000.0,3,3,1,2,3,2,2,4,2,31,1
1,4,7,20,1,1,1,1,6,0,2,60.0,170,120,4,4,4,2,4,5,5,-8,10,6,,,,,-2.0,3,5,-2,1,1,1,2,-8,-8,18,1
1,5,8,23,1,1,1,1,10,80000,1,90.0,180,150,4,5,5,2,2,3,3,4,5,1,3.0,5.0,1.0,2.0,100000.0,5,4,1,1,3,2,1,3,2,30,1
1,31,89,134,2,1,1,1,4,12000,1,34.0,160,140,3,4,5,2,1,5,1,3,5,5,,,,,30000.0,2,3,1,2,3,3,1,-8,-8,71,1
1,5,11,27,1,1,0,1,4,30000,1,40.0,170,160,3,5,5,2,2,4,2,3,5,5,,,,,600000.0,2,3,1,2,3,2,2,5,1,65,1
1,7,18,38,2,1,1,1,10,24000,4,57.0,160,130,4,4,4,2,1,4,2,3,6,5,,,,,63600.0,2,3,1,2,3,1,1,4,3,61,1
1,15,42,73,2,1,1,1,4,3600,1,100.0,158,125,4,5,5,1,5,5,1,2,6,2,,,,,75000.0,1,3,1,2,3,2,2,3,2,50,1
2,23,69,109,2,1,0,3,3,2500,1,333.0,157,130,2,3,3,1,1,4,2,3,3,3,,,,,5000.0,3,2,1,2,3,3,1,3,2,33,1
2,18,55,89,1,1,0,4,4,35000,4,120.0,175,175,5,5,5,1,4,3,3,2,5,2,,,,,50000.0,5,2,1,2,3,2,2,4,2,46,1
2,2,3,10,1,4,0,2,6,5000,4,300.0,180,120,5,5,5,6,2,2,2,4,5,1,3.0,3.0,1.0,3.0,1000000.0,3,4,30,1,1,2,2,4,2,19,1
2,21,64,102,2,1,0,9,3,0,1,234.0,156,130,2,3,4,1,2,3,1,3,5,4,,,,,100000.0,4,3,1,2,7,2,1,4,2,61,1
1,13,36,67,1,1,1,1,8,5000,1,100.0,176,154,4,5,5,5,2,3,2,2,5,1,3.0,1.0,1.0,3.0,10000.0,3,2,1,1,3,2,2,5,2,55,0
1,4,7,16,2,4,0,4,6,38000,1,115.0,162,122,2,5,2,2,3,4,4,4,4,5,,,,,90000.0,2,3,2,2,3,2,2,3,2,70,1
2,6,13,29,1,1,1,1,1,20000,1,180.0,168,118,3,3,3,1,2,3,1,3,4,3,,,,,20000.0,2,3,1,2,3,3,2,3,2,71,0
1,1,1,4,2,4,0,2,4,39600,1,79.0,150,85,1,1,3,2,1,3,1,4,4,5,,,,,150000.0,4,2,1,2,7,3,2,3,3,93,1
2,31,87,132,2,1,1,1,3,10660,1,80.0,165,100,1,5,1,1,4,4,1,5,10,3,,,,,21320.0,2,3,1,2,3,2,2,5,2,72,0
1,12,32,57,1,1,1,1,6,0,1,110.0,178,120,3,4,4,5,3,3,3,4,4,1,2.0,13.0,1.0,2.0,0.0,4,3,1,2,3,3,2,3,2,32,1
2,9,21,43,2,1,1,1,4,20000,1,200.0,160,110,3,2,3,1,4,4,1,4,5,2,,,,,20000.0,1,1,1,2,7,2,3,5,2,53,1
2,29,83,126,2,1,0,1,12,0,2,120.0,158,140,4,5,4,1,3,2,2,4,4,6,,,,,20000.0,4,3,1,2,1,2,2,4,2,19,1
2,18,52,86,2,1,1,1,1,0,1,200.0,158,124,5,5,5,1,2,3,2,2,5,4,,,,,50000.0,3,3,2,2,3,2,2,4,2,47,1
1,4,7,21,1,1,1,1,7,50000,1,64.0,169,130,3,4,5,2,2,3,1,1,4,5,,,,,80000.0,2,-8,1,2,3,2,1,-8,3,61,1
1,1,1,6,2,1,1,1,10,44400,1,60.0,160,98,4,4,4,5,2,3,2,4,3,5,,,,,91200.0,1,3,1,2,3,2,2,4,2,68,1
2,2,2,9,2,8,1,1,4,10000,-8,266.0,165,100,4,4,4,1,2,3,2,4,6,3,,,,,85000.0,4,3,2,1,3,2,1,3,2,47,1
1,24,70,110,1,1,1,1,12,100000,1,100.0,170,150,5,5,5,4,3,4,4,4,6,1,3.0,21.0,1.0,2.0,250000.0,5,4,-3,1,3,2,2,4,2,44,1
1,6,12,28,1,1,1,1,4,-3,1,105.0,173,125,3,4,4,2,2,3,2,1,4,5,,,,,-3.0,3,2,1,2,3,3,2,4,3,47,0
2,19,57,93,1,1,1,1,3,200000,1,96.0,160,130,2,2,2,1,4,4,5,3,4,1,3.0,26.0,1.0,1.0,200000.0,3,3,1,2,3,2,2,5,2,47,1
2,16,44,75,1,1,1,1,4,40000,2,60.0,168,140,4,4,4,4,2,3,3,4,4,5,,,,,40000.0,2,3,0,2,3,1,1,4,2,66,1
2,13,35,65,1,6,1,1,4,10000,1,128.0,160,130,4,3,3,1,3,4,1,2,3,2,,,,,20000.0,5,2,1,2,3,3,2,4,4,38,0
2,22,67,107,1,1,1,1,3,20000,1,85.0,173,126,3,3,2,1,3,3,1,4,4,3,,,,,20000.0,1,1,1,2,7,3,1,3,2,46,0
1,4,7,14,1,1,1,1,8,120000,1,57.0,170,135,4,4,5,1,2,4,2,2,6,1,3.0,10.0,1.0,2.0,120000.0,3,3,1,2,3,2,1,3,2,28,1
2,6,17,33,2,1,1,1,3,2000,1,120.0,155,120,4,4,4,1,3,2,1,2,5,3,,,,,3000.0,1,3,1,2,7,2,2,4,2,68,1
1,31,86,129,1,1,1,1,4,1400,1,40.0,166,105,2,2,3,2,2,2,1,4,1,5,,,,,5000.0,3,1,0,2,3,3,1,4,3,41,0
1,16,46,77,2,1,1,1,10,30000,1,900.0,162,95,4,4,4,1,4,4,4,4,4,5,,,,,10000.0,4,3,2,2,1,2,1,3,-8,23,1
2,31,88,133,1,1,1,1,4,20000,4,40.0,164,110,4,4,3,1,2,4,4,3,7,2,,,,,40000.0,2,3,1,2,3,2,1,4,2,60,1
2,9,21,43,2,1,1,1,6,0,1,200.0,150,90,1,2,2,1,1,3,1,2,3,3,,,,,10000.0,2,1,1,2,3,3,3,-8,2,61,0
2,15,40,71,1,1,1,1,3,25000,1,200.0,168,125,3,5,4,4,4,4,1,3,5,5,,,,,60000.0,4,1,2,2,3,2,2,2,3,63,1
1,19,57,91,1,1,1,1,4,20000,1,38.0,170,115,4,5,5,5,2,4,2,3,2,5,,,,,50000.0,3,2,1,2,3,3,3,5,4,55,0
1,9,20,42,1,1,1,1,4,30000,1,208.0,165,130,4,5,5,1,2,3,2,4,5,1,1.0,42.0,1.0,1.0,60000.0,2,3,1,2,3,2,2,4,2,61,1
2,2,3,10,2,4,0,4,3,5000,1,150.0,150,130,2,3,5,1,2,2,1,4,4,4,,,,,12000.0,3,3,2,2,3,3,1,4,-8,45,1
2,29,84,127,2,1,1,1,4,0,1,20.0,155,110,3,5,3,1,3,1,2,4,5,2,,,,,15000.0,3,2,1,2,3,3,3,2,2,38,1
2,31,87,132,2,1,1,1,4,10000,1,50.0,164,98,1,2,3,1,3,1,1,2,3,3,,,,,10000.0,4,3,1,1,3,2,1,4,2,36,0
2,6,14,30,1,1,1,1,3,5000,1,100.0,168,130,2,3,3,1,2,3,1,4,4,2,,,,,5000.0,2,2,1,2,1,2,2,3,2,50,0
1,21,64,102,1,1,1,1,3,900,1,60.0,165,98,2,4,4,1,2,4,3,4,5,5,,,,,800.0,1,1,1,2,7,3,2,2,4,74,0
1,7,18,39,1,1,1,1,6,50000,4,67.0,183,160,5,5,5,2,1,3,2,4,5,1,3.0,30.0,1.0,3.0,80000.0,3,3,2,1,3,2,2,4,2,45,1
2,9,20,42,1,1,1,1,3,8000,1,80.0,170,120,3,2,3,1,2,2,1,3,2,2,,,,,8000.0,2,1,1,2,1,3,2,4,2,52,0
1,8,19,41,2,4,0,9,3,0,1,200.0,152,117,1,2,1,1,3,2,1,2,5,1,2.0,10.0,1.0,4.0,80000.0,5,3,1,2,3,2,2,3,3,35,0
1,23,69,109,2,1,1,1,4,60000,1,60.0,163,120,5,5,4,1,5,4,2,4,4,1,2.0,8.0,1.0,4.0,65000.0,3,2,1,2,3,2,1,2,3,28,1
2,22,66,105,1,1,1,1,4,30000,1,90.0,172,105,4,5,5,1,2,3,1,2,5,1,3.0,3.0,1.0,3.0,30000.0,6,3,1,2,1,2,1,3,2,20,1
1,4,7,14,1,1,1,1,6,60000,1,58.0,175,130,4,5,5,2,5,4,1,2,1,1,3.0,36.0,1.0,2.0,80000.0,4,1,1,1,3,3,2,3,2,53,0
2,24,72,112,1,1,1,4,3,1000,1,120.0,164,110,3,4,4,1,4,4,1,4,3,3,,,,,-2.0,1,3,2,2,3,2,2,4,-8,64,1
2,17,49,82,2,1,1,1,4,10000,1,306.0,156,110,5,5,5,1,4,4,4,4,7,2,,,,,30000.0,6,3,1,2,3,2,2,4,2,33,1
1,12,32,56,2,1,1,3,3,36000,1,55.0,160,134,4,5,5,5,4,5,1,3,5,5,,,,,150000.0,3,3,2,1,7,2,1,4,2,66,1
1,18,54,88,2,1,1,1,3,0,1,200.0,159,120,2,2,3,2,4,2,2,4,5,6,,,,,20000.0,2,3,1,2,3,2,2,4,3,63,1
1,22,65,103,2,1,1,3,4,3600,1,75.0,149,110,3,5,5,5,5,5,1,3,5,5,,,,,6000.0,3,2,1,2,3,2,1,4,3,40,1
1,12,32,60,2,1,1,1,4,15000,1,64.0,156,108,3,4,4,4,4,4,2,4,5,3,,,,,30000.0,3,3,2,2,3,2,1,3,2,37,1
1,26,76,116,1,1,1,1,12,0,1,60.0,168,104,4,4,3,2,3,3,2,3,4,1,-8.0,-1.0,-8.0,-8.0,50000.0,1,3,1,2,1,2,1,3,-8,20,0
1,13,36,67,1,6,1,1,12,30000,1,70.0,170,130,4,3,3,2,5,3,3,4,2,1,3.0,5.0,1.0,3.0,90000.0,3,2,1,2,3,3,2,4,3,27,0
1,31,87,132,2,1,0,6,13,18000,1,63.0,165,150,4,5,3,2,2,3,1,4,1,1,5.0,5.0,-8.0,3.0,50000.0,2,2,2,2,3,2,2,4,2,52,1
2,21,64,101,2,1,1,1,3,10000,1,100.0,165,100,3,3,4,1,4,3,1,4,4,3,,,,,20000.0,3,2,1,2,3,3,2,4,2,49,1
1,6,17,33,1,1,0,-8,6,40000,1,108.0,167,160,3,4,5,2,3,2,2,4,5,1,1.0,20.0,1.0,1.0,60000.0,1,3,1,2,3,2,1,3,2,53,1
2,16,46,78,2,1,1,3,1,0,1,230.0,150,100,5,4,5,1,4,4,2,4,3,4,,,,,1000.0,1,1,1,2,3,3,2,4,-8,79,1
1,26,75,115,1,1,1,1,4,15000,1,50.0,160,100,5,5,3,2,2,5,1,3,1,1,3.0,20.0,1.0,3.0,15000.0,2,2,1,2,1,3,2,3,-8,40,0
2,22,66,106,1,1,1,1,9,80000,1,450.0,169,144,4,5,5,2,3,3,4,4,4,1,3.0,13.0,1.0,3.0,10000.0,5,3,1,2,3,2,1,3,2,37,1
1,21,64,101,2,1,1,1,4,8000,1,59.0,158,108,5,5,5,2,4,4,1,3,2,5,,,,,15000.0,2,2,1,2,3,3,1,3,3,50,1
2,24,72,112,2,1,1,3,1,6000,1,120.0,150,85,3,4,4,1,4,4,1,2,4,3,,,,,-2.0,2,3,1,2,3,2,2,3,2,52,0
1,28,81,121,2,1,1,1,4,10000,1,15.0,161,124,2,2,2,4,2,2,1,4,5,1,8.0,-2.0,1.0,4.0,25000.0,2,2,0,2,3,3,2,3,4,50,1
1,15,40,71,1,1,1,1,4,-1,1,85.0,172,152,5,5,3,1,2,3,2,2,2,1,2.0,10.0,1.0,4.0,100000.0,3,2,1,2,3,2,1,2,4,35,1
1,1,1,2,2,1,1,1,6,33600,1,28.0,150,95,4,5,5,2,2,5,2,3,3,5,,,,,33600.0,1,2,1,2,7,3,2,3,3,67,0
2,29,83,126,1,1,1,2,3,3000,1,200.0,173,140,3,4,3,1,2,1,1,2,4,3,,,,,3000.0,3,2,1,2,3,2,2,4,2,42,0
2,9,20,42,1,1,1,1,4,25000,1,70.0,162,130,5,4,4,1,4,3,1,4,4,2,,,,,30000.0,1,3,1,2,7,2,2,4,2,61,1
1,15,43,74,1,1,1,1,12,50000,4,140.0,173,180,4,4,4,5,3,3,3,4,5,1,3.0,25.0,1.0,3.0,100000.0,2,3,2,1,3,2,3,4,3,44,1
1,1,1,3,2,1,1,1,6,30000,1,35.7,160,170,4,4,5,2,3,3,2,4,3,1,3.0,4.0,1.0,3.0,74400.0,2,2,1,2,1,3,-8,3,2,28,1
1,26,74,114,1,1,1,1,6,50000,2,200.0,173,130,4,4,5,1,4,4,4,3,2,1,2.0,10.0,1.0,4.0,60000.0,1,3,1,2,1,2,2,3,2,27,1
1,16,46,77,1,1,1,1,12,0,2,120.0,168,120,4,4,4,1,3,4,4,4,6,6,,,,,40000.0,3,3,1,2,1,2,2,3,-8,23,1
2,10,24,46,2,1,1,1,4,2000,1,66.0,160,132,4,4,4,1,2,3,1,3,6,3,,,,,50000.0,2,3,1,2,3,2,2,4,3,50,1
2,11,30,53,2,1,1,1,5,-3,1,200.0,160,110,4,4,5,1,3,3,3,4,4,5,,,,,-2.0,11,2,1,2,3,2,2,4,2,31,1
2,21,62,98,2,-8,1,1,3,24000,1,120.0,170,120,4,5,5,1,3,3,2,2,3,1,3.0,17.0,1.0,3.0,30000.0,3,3,1,2,6,3,2,3,2,37,0
1,1,1,8,1,1,1,3,9,93600,4,70.0,176,169,3,3,4,2,3,3,4,4,7,1,3.0,40.0,1.0,2.0,150000.0,2,4,4,2,3,2,2,4,2,59,1
2,31,87,131,2,1,1,1,3,7000,1,70.0,160,130,4,4,4,1,4,4,1,1,3,3,,,,,30000.0,5,3,1,2,3,3,1,3,3,54,0
1,11,31,54,1,1,1,1,12,30000,1,150.0,178,145,4,3,4,1,2,3,2,3,3,1,3.0,7.0,1.0,3.0,50000.0,5,3,1,2,3,2,1,3,2,32,1
1,11,29,52,1,1,1,1,4,60000,1,120.0,178,159,2,3,3,1,2,3,2,2,4,1,3.0,4.0,1.0,2.0,110000.0,2,3,2,2,3,2,2,3,3,44,1
1,15,40,71,2,1,0,2,12,40000,4,70.0,156,98,4,5,5,2,1,5,3,2,5,1,3.0,2.0,1.0,3.0,100000.0,3,2,1,2,1,3,1,4,2,24,1
1,16,46,77,1,1,1,1,6,120000,2,100.0,165,120,4,4,4,1,3,3,4,1,6,1,1.0,9.0,1.0,1.0,150000.0,6,2,1,1,3,2,2,3,2,41,0
1,12,32,61,2,1,1,1,6,30000,1,300.0,158,120,4,3,4,4,4,3,2,2,4,1,2.0,8.0,1.0,4.0,80000.0,3,2,1,2,3,2,2,4,3,38,1
2,21,64,100,2,1,1,1,4,10000,1,260.0,163,130,4,4,3,2,2,4,1,4,5,3,,,,,50000.0,4,4,1,2,3,2,1,5,2,49,0
2,18,52,85,1,1,1,1,12,0,2,250.0,174,114,2,2,3,1,1,4,3,4,5,1,5.0,1.0,2.0,3.0,10000.0,3,2,1,2,1,3,2,3,3,23,1
1,21,61,97,2,1,0,9,3,24000,1,174.0,156,120,5,5,5,2,4,4,2,4,7,5,,,,,24000.0,2,4,1,2,7,1,1,4,2,68,1
2,18,54,88,2,1,0,4,1,0,1,200.0,155,80,4,3,2,1,3,2,1,4,6,4,,,,,-2.0,3,3,1,2,3,3,1,5,2,79,1
1,27,80,120,1,1,1,1,6,40000,4,94.0,178,140,5,4,3,5,3,4,1,4,2,1,3.0,38.0,1.0,2.0,50000.0,2,2,0,2,3,3,3,4,2,58,0
1,22,67,107,2,1,1,1,12,0,2,100.0,160,96,4,5,3,2,3,4,3,3,5,6,,,,,50000.0,3,3,1,1,1,-8,-8,3,-8,19,1
2,11,30,53,2,1,1,1,6,0,2,160.0,170,98,5,5,3,1,2,3,5,4,2,6,,,,,10000.0,5,3,1,2,1,2,2,5,-8,18,1
2,26,74,114,2,1,1,1,11,-1,1,150.0,150,80,5,5,4,1,4,2,4,3,5,6,,,,,30000.0,2,2,1,2,1,3,1,2,-8,22,1
2,10,24,46,2,4,0,7,3,-2,1,40.0,150,110,2,2,3,1,4,4,1,5,3,4,,,,,-2.0,1,2,1,2,7,3,3,4,2,71,1
2,27,77,117,1,1,1,1,4,-3,1,70.0,170,120,3,3,3,1,1,3,1,4,3,2,,,,,-2.0,2,2,1,2,1,3,3,5,3,32,1
2,8,19,41,2,4,0,1,4,0,1,30.0,165,110,4,5,5,1,5,4,3,3,4,3,,,,,80000.0,3,3,2,2,3,2,3,4,-8,21,1
2,6,15,31,1,1,1,1,3,20000,1,400.0,160,140,4,4,3,1,2,2,1,4,5,3,,,,,30000.0,2,3,1,2,3,2,1,4,2,67,1
2,13,35,65,1,6,0,2,4,15000,1,270.0,167,124,4,3,4,1,4,4,1,4,6,2,,,,,28000.0,2,2,1,2,3,2,2,4,2,55,1
1,27,80,120,1,1,1,1,10,3000,1,85.0,170,135,4,5,5,2,4,5,3,4,7,5,,,,,80000.0,3,3,2,2,1,2,3,2,2,19,1
2,6,17,33,1,1,1,1,1,1200,1,50.0,172,140,1,1,2,1,2,4,1,3,3,5,,,,,1200.0,1,2,1,2,1,3,3,3,3,46,0
1,13,37,68,2,1,1,1,6,24000,1,90.0,150,85,4,4,3,5,3,2,1,4,3,5,,,,,24000.0,3,3,1,2,7,2,1,3,2,49,0
1,19,57,93,1,1,1,1,4,30000,4,20.0,170,135,4,5,4,5,2,4,1,2,5,5,,,,,70000.0,2,3,1,2,3,3,2,4,3,61,1
2,10,28,51,2,1,1,1,11,0,4,230.0,163,108,5,5,4,1,2,4,2,4,2,1,3.0,1.0,1.0,2.0,-3.0,3,2,1,2,1,2,1,5,3,25,1
2,18,52,86,2,1,1,1,1,1000,1,200.0,158,144,4,4,4,1,1,1,1,3,5,3,,,,,5000.0,2,3,1,2,3,2,1,3,2,67,1
1,16,45,76,2,1,1,1,4,25000,1,150.0,146,78,3,4,4,1,3,1,1,4,5,3,,,,,30000.0,3,3,1,2,3,2,2,2,2,49,0
2,16,47,79,2,1,1,1,3,0,1,120.0,155,115,1,1,1,1,2,5,1,3,5,4,,,,,60000.0,7,3,1,1,3,3,1,3,-8,62,1
1,17,48,80,1,1,1,1,10,15000,4,117.0,170,130,4,5,5,4,1,4,2,4,5,5,,,,,20000.0,2,3,1,2,3,2,1,3,2,62,1
1,12,33,62,2,1,0,6,6,0,1,100.0,151,63,2,2,3,1,2,4,1,1,5,5,,,,,-2.0,2,2,1,2,3,3,1,3,-8,54,0
